1,3,3,1,1,2011/3/10
2,4,10,4,2,2012/10/26
3,3,10,4,6,2016/10/7
4,7,6,2,5,2015/6/8
5,1,7,3,5,2015/7/11
6,2,7,3,3,2013/7/26
7,1,12,4,6,2016/12/18
8,6,12,4,1,2011/12/11
9,3,8,3,5,2015/8/19
10,6,1,1,6,2016/1/8
11,1,10,4,3,2013/10/7
12,2,2,1,2,2012/2/24
13,3,2,1,6,2016/2/20
14,5,4,2,1,2011/4/11
15,2,4,2,6,2016/4/20
16,5,12,4,6,2016/12/16
17,5,12,4,1,2011/12/5
18,5,9,3,6,2016/9/28
19,1,12,4,3,2013/12/23
20,1,4,2,5,2015/4/11
21,5,2,1,5,2015/2/27
22,1,12,4,4,2014/12/13
23,6,12,4,3,2013/12/22
24,1,10,4,4,2014/10/25
25,4,7,3,1,2011/7/17
26,2,6,2,6,2016/6/16
27,1,2,1,5,2015/2/2
28,1,9,3,5,2015/9/12
29,5,5,2,6,2016/5/19
30,1,3,1,3,2013/3/21
31,1,2,1,5,2015/2/24
32,7,1,1,4,2014/1/26
33,3,10,4,5,2015/10/25
34,2,2,1,4,2014/2/13
35,6,8,3,3,2013/8/4
36,2,11,4,6,2016/11/14
37,1,7,3,3,2013/7/12
38,4,9,3,5,2015/9/6
39,7,9,3,1,2011/9/25
40,5,3,1,6,2016/3/4
41,6,10,4,3,2013/10/27
42,1,11,4,6,2016/11/28
43,6,6,2,6,2016/6/5
44,5,6,2,3,2013/6/21
45,4,10,4,6,2016/10/25
46,5,5,2,3,2013/5/26
47,2,2,1,4,2014/2/15
48,3,12,4,1,2011/12/3
49,2,4,2,3,2013/4/16
50,7,1,1,4,2014/1/16
51,1,5,2,4,2014/5/17
52,5,6,2,1,2011/6/6
53,2,11,4,4,2014/11/7
54,5,12,4,2,2012/12/27
55,1,12,4,3,2013/12/17
56,3,10,4,4,2014/10/19
57,1,9,3,1,2011/9/13
58,6,3,1,3,2013/3/19
59,6,3,1,2,2012/3/11
60,7,7,3,6,2016/7/3
61,4,4,2,1,2011/4/14
62,3,5,2,5,2015/5/10
63,2,4,2,5,2015/4/9
64,1,2,1,1,2011/2/8
65,3,12,4,5,2015/12/14
66,3,3,1,1,2011/3/11
67,4,5,2,4,2014/5/8
68,3,5,2,3,2013/5/4
69,1,12,4,6,2016/12/26
70,7,7,3,3,2013/7/24
71,1,4,2,4,2014/4/23
72,5,1,1,5,2015/1/12
73,1,1,1,2,2012/1/15
74,6,1,1,4,2014/1/4
75,2,3,1,5,2015/3/8
76,2,6,2,6,2016/6/4
77,7,5,2,5,2015/5/22
